2022-11-29 11:29:11,363 INFO  [] - Restarting Consumer@60d9d092: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:11,363 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:15,786 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:29:15,786 INFO  [] - Restarting Consumer@500619b6: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:15,786 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:16,409 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:29:16,409 INFO  [] - Restarting Consumer@17e5d9e9: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:16,410 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:16,457 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:29:16,457 INFO  [] - Restarting Consumer@2840ea8f: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:16,457 INFO  [] - Attempting to connect to: [localhost:5672]
